B5H,AL,Birmingham,3439 Colonnade Pkwy - Ste 700 Birmingham AL 35243 US,Compact,Kia Soul or similar,09/29/2023,08/24/2024,13573.89,14909.06,13573.89,14909.06,https://www.avis.com/en/locations/us/al/birmingham/b5h
B5H,AL,Birmingham,3439 Colonnade Pkwy - Ste 700 Birmingham AL 35243 US,Intermediate,Toyota Corolla or similar,09/29/2023,08/24/2024,14563.89,15933.71,14563.89,15933.71,https://www.avis.com/en/locations/us/al/birmingham/b5h
B5H,AL,Birmingham,3439 Colonnade Pkwy - Ste 700 Birmingham AL 35243 US,Standard,Volkswagen Jetta or similar,09/29/2023,08/24/2024,15553.89,16958.36,15553.89,16958.36,https://www.avis.com/en/locations/us/al/birmingham/b5h
B5H,AL,Birmingham,3439 Colonnade Pkwy - Ste 700 Birmingham AL 35243 US,Full-Size,Toyota Camry or similar,09/29/2023,08/24/2024,15553.89,16958.36,15553.89,16958.36,https://www.avis.com/en/locations/us/al/birmingham/b5h
B5H,AL,Birmingham,3439 Colonnade Pkwy - Ste 700 Birmingham AL 35243 US,Premium,Volkswagen Passat or similar,09/29/2023,08/24/2024,15553.89,16958.36,15553.89,16958.36,https://www.avis.com/en/locations/us/al/birmingham/b5h
B5H,AL,Birmingham,3439 Colonnade Pkwy - Ste 700 Birmingham AL 35243 US,Minivan,Chrysler Pacifica or similar,09/29/2023,08/24/2024,19183.89,20715.41,19183.89,20715.41,https://www.avis.com/en/locations/us/al/birmingham/b5h
DHN,AL,Dothan,800 Airport Dr - Ste 12 Dothan AL 36303 US,Economy,Kia Rio or similar,09/29/2023,08/24/2024,-,-,9470.89,13599.07,https://www.avis.com/en/locations/us/al/dothan/dhn
DHN,AL,Dothan,800 Airport Dr - Ste 12 Dothan AL 36303 US,Compact,Nissan Versa or similar,09/29/2023,08/24/2024,-,-,9569.89,13720.94,https://www.avis.com/en/locations/us/al/dothan/dhn
DHN,AL,Dothan,800 Airport Dr - Ste 12 Dothan AL 36303 US,Intermediate,Toyota Corolla or similar,09/29/2023,08/24/2024,-,-,9800.89,14005.30,https://www.avis.com/en/locations/us/al/dothan/dhn
DHN,AL,Dothan,800 Airport Dr - Ste 12 Dothan AL 36303 US,Standard,Volkswagen Jetta or similar,09/29/2023,08/24/2024,-,-,9910.89,14140.71,https://www.avis.com/en/locations/us/al/dothan/dhn
