FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Economy,Kia Rio or similar,09/04/2023,07/30/2024,-,-,15498.89,19668.74,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Compact,Kia Soul or similar,09/04/2023,07/30/2024,-,-,15498.89,19668.74,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Intermediate,Toyota Corolla or similar,09/04/2023,07/30/2024,-,-,16202.89,20561.81,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Standard,Volkswagen Jetta or similar,09/04/2023,07/30/2024,-,-,17258.89,21901.39,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Full-Size,Toyota Camry or similar,09/04/2023,07/30/2024,-,-,17258.89,21901.39,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Standard Elite SUV,Chevrolet Traverse or similar,09/04/2023,07/30/2024,-,-,25453.89,32297.17,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Premium,Volkswagen Passat or similar,09/04/2023,07/30/2024,-,-,21053.89,26715.55,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Standard SUV,Ford Edge or similar,09/04/2023,07/30/2024,-,-,21053.89,26715.55,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Minivan,Chrysler Pacifica or similar,09/04/2023,07/30/2024,-,-,23814.89,30218.01,https://www.avis.com/en/locations/us/az/flagstaff/flg

FLG,AZ,Flagstaff,6200 S Pulliam Dr - Ste 105 Flagstaff AZ 86005 US,Intermediate SUV,Toyota Rav4 or similar,09/04/2023,07/30/2024,-,-,19766.89,25082.92,https://www.avis.com/en/locations/us/az/flagstaff/flg

HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Compact,Kia Soul or similar,09/04/2023,07/30/2024,-,-,12803.89,15865.66,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Intermediate,Toyota Corolla or similar,09/04/2023,07/30/2024,-,-,13353.89,16546.89,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Standard,Volkswagen Jetta or similar,09/04/2023,07/30/2024,-,-,13903.89,17228.12,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Full-Size,Toyota Camry or similar,09/04/2023,07/30/2024,-,-,13903.89,17228.12,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Convertible,Ford Mustang Convertible or similar,09/04/2023,07/30/2024,-,-,21053.89,26084.11,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Standard SUV,Ford Edge or similar,09/04/2023,07/30/2024,-,-,34803.89,43114.86,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
HII,AZ,Lake Havasu City,5600 N Hwy 95 Lake Havasu City AZ 86404 US,Intermediate SUV,Toyota Rav4 or similar,09/04/2023,07/30/2024,-,-,29303.89,36302.56,https://www.avis.com/en/locations/us/az/lake-havasu-city/hii
ANB,AL,Anniston,1100 S Quintard Ave Anniston AL 36201 US,Economy,Kia Rio or similar,09/04/2023,07/30/2024,-,-,14783.89,16707.93,https://www.avis.com/en/locations/us/al/anniston/anb

ANB,AL,Anniston,1100 S Quintard Ave Anniston AL 36201 US,Compact,Kia Soul or similar,09/04/2023,07/30/2024,-,-,15883.89,17884.93,https://www.avis.com/en/locations/us/al/anniston/anb

ANB,AL,Anniston,1100 S Quintard Ave Anniston AL 36201 US,Intermediate,Toyota Corolla or similar,09/04/2023,07/30/2024,-,-,16983.89,19061.93,https://www.avis.com/en/locations/us/al/anniston/anb

ANB,AL,Anniston,1100 S Quintard Ave Anniston AL 36201 US,Standard,Volkswagen Jetta or similar,09/04/2023,07/30/2024,-,-,19183.89,21415.93,https://www.avis.com/en/locations/us/al/anniston/anb

ANB,AL,Anniston,1100 S Quintard Ave Anniston AL 36201 US,Full-Size,Toyota Camry or similar,09/04/2023,07/30/2024,-,-,19183.89,21415.93,https://www.avis.com/en/locations/us/al/anniston/anb

ANB,AL,Anniston,1100 S Quintard Ave Anniston AL 36201 US,Premium,Volkswagen Passat or similar,09/04/2023,07/30/2024,-,-,37399.89,40907.05,https://www.avis.com/en/locations/us/al/anniston/anb

BHM,AL,Birmingham,5900 Messer Airport Hwy Birmingham AL 35212 US,Economy,Kia Rio or similar,09/04/2023,07/30/2024,-,-,12561.89,17109.42,https://www.avis.com/en/locations/us/al/birmingham/bhm
BHM,AL,Birmingham,5900 Messer Airport Hwy Birmingham AL 35212 US,Compact,Kia Soul or similar,09/04/2023,07/30/2024,12561.89,17109.42,12561.89,17109.42,https://www.avis.com/en/locations/us/al/birmingham/bhm
BHM,AL,Birmingham,5900 Messer Airport Hwy Birmingham AL 35212 US,Intermediate,Toyota Corolla or similar,09/04/2023,07/30/2024,-,-,11758.89,16185.98,https://www.avis.com/en/locations/us/al/birmingham/bhm
BHM,AL,Birmingham,5900 Messer Airport Hwy Birmingham AL 35212 US,Standard,Volkswagen Jetta or similar,09/04/2023,07/30/2024,-,-,14343.89,19158.70,https://www.avis.com/en/locations/us/al/birmingham/bhm
